python-dotenv could not parse statement starting at line 14
python-dotenv could not parse statement starting at line 14
== Cloudinary migration  ==
FAILED:  [applications/c3e9b023-e6bb-4e08-9952-2ce252d59167/8905b8ed-49d7-4072-b39c-6d673d251dc3] → HTTPException: 502: Storage upload failed
2026-04-28 19:30:21,049 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=6b5de2fe-d4fd-4810-9e52-52e77f457a14): General Error
2026-04-28 19:30:22,081 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=6b5de2fe-d4fd-4810-9e52-52e77f457a14): General Error
2026-04-28 19:30:23,794 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=6b5de2fe-d4fd-4810-9e52-52e77f457a14): General Error
FAILED:  [applications/c3e9b023-e6bb-4e08-9952-2ce252d59167/6b5de2fe-d4fd-4810-9e52-52e77f457a14] → HTTPException: 502: Storage upload failed
2026-04-28 19:30:26,251 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=cec9ff92-02f3-4a50-b076-f6fc8454a325): General Error
2026-04-28 19:30:27,298 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=cec9ff92-02f3-4a50-b076-f6fc8454a325): General Error
2026-04-28 19:30:29,032 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=cec9ff92-02f3-4a50-b076-f6fc8454a325): General Error
FAILED:  [applications/c3e9b023-e6bb-4e08-9952-2ce252d59167/cec9ff92-02f3-4a50-b076-f6fc8454a325] → HTTPException: 502: Storage upload failed
2026-04-28 19:30:31,383 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=16f16227-149b-4277-80bb-82c98c90a506): General Error
2026-04-28 19:30:32,464 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=16f16227-149b-4277-80bb-82c98c90a506): General Error
2026-04-28 19:30:34,509 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=16f16227-149b-4277-80bb-82c98c90a506): General Error
FAILED:  [applications/c3e9b023-e6bb-4e08-9952-2ce252d59167/16f16227-149b-4277-80bb-82c98c90a506] → HTTPException: 502: Storage upload failed
2026-04-28 19:30:36,827 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=1912057c-d31c-4ac2-9f59-34004c18b918): General Error
2026-04-28 19:30:38,132 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=1912057c-d31c-4ac2-9f59-34004c18b918): General Error
2026-04-28 19:30:40,003 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=1912057c-d31c-4ac2-9f59-34004c18b918): General Error
FAILED:  [applications/c3e9b023-e6bb-4e08-9952-2ce252d59167/1912057c-d31c-4ac2-9f59-34004c18b918] → HTTPException: 502: Storage upload failed
2026-04-28 19:30:42,386 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=1700b453-c588-437c-8936-7fca17351fa1): General Error
2026-04-28 19:30:43,687 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=1700b453-c588-437c-8936-7fca17351fa1): General Error
2026-04-28 19:30:45,322 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=1700b453-c588-437c-8936-7fca17351fa1): General Error
FAILED:  [applications/c3e9b023-e6bb-4e08-9952-2ce252d59167/1700b453-c588-437c-8936-7fca17351fa1] → HTTPException: 502: Storage upload failed
2026-04-28 19:30:48,880 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=2b842b07-b144-4ce8-9089-fd27fdcccef5): General Error
2026-04-28 19:30:49,882 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=2b842b07-b144-4ce8-9089-fd27fdcccef5): General Error
2026-04-28 19:30:51,626 - ERROR - Cloudinary upload failed (folder=talentgram/applications/c3e9b023-e6bb-4e08-9952-2ce252d59167 pid=2b842b07-b144-4ce8-9089-fd27fdcccef5): General Error
FAILED:  [applications/c3e9b023-e6bb-4e08-9952-2ce252d59167/2b842b07-b144-4ce8-9089-fd27fdcccef5] → HTTPException: 502: Storage upload failed
2026-04-28 19:30:53,975 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=4691ca86-7c03-4a7b-9ed7-6a4069070185): General Error
2026-04-28 19:30:55,325 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=4691ca86-7c03-4a7b-9ed7-6a4069070185): General Error
2026-04-28 19:30:56,957 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=4691ca86-7c03-4a7b-9ed7-6a4069070185): General Error
FAILED:  [applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54/4691ca86-7c03-4a7b-9ed7-6a4069070185] → HTTPException: 502: Storage upload failed
2026-04-28 19:30:59,353 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=b688bbe1-38a6-4e8c-8554-b9bec32d97e0): General Error
2026-04-28 19:31:00,364 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=b688bbe1-38a6-4e8c-8554-b9bec32d97e0): General Error
2026-04-28 19:31:02,238 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=b688bbe1-38a6-4e8c-8554-b9bec32d97e0): General Error
FAILED:  [applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54/b688bbe1-38a6-4e8c-8554-b9bec32d97e0] → HTTPException: 502: Storage upload failed
2026-04-28 19:31:04,497 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=d32b6cdd-9abc-4be3-8064-58b794dca423): General Error
2026-04-28 19:31:05,636 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=d32b6cdd-9abc-4be3-8064-58b794dca423): General Error
2026-04-28 19:31:07,413 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=d32b6cdd-9abc-4be3-8064-58b794dca423): General Error
FAILED:  [applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54/d32b6cdd-9abc-4be3-8064-58b794dca423] → HTTPException: 502: Storage upload failed
2026-04-28 19:31:09,693 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=64e48783-6977-49a7-9064-dfe3a83e5137): General Error
2026-04-28 19:31:11,277 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=64e48783-6977-49a7-9064-dfe3a83e5137): General Error
2026-04-28 19:31:13,150 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=64e48783-6977-49a7-9064-dfe3a83e5137): General Error
FAILED:  [applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54/64e48783-6977-49a7-9064-dfe3a83e5137] → HTTPException: 502: Storage upload failed
2026-04-28 19:31:15,562 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=cae2c0d9-bde2-42aa-99ff-7698f8f4df1e): General Error
2026-04-28 19:31:17,084 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=cae2c0d9-bde2-42aa-99ff-7698f8f4df1e): General Error
2026-04-28 19:31:18,785 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=cae2c0d9-bde2-42aa-99ff-7698f8f4df1e): General Error
FAILED:  [applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54/cae2c0d9-bde2-42aa-99ff-7698f8f4df1e] → HTTPException: 502: Storage upload failed
2026-04-28 19:31:21,299 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=ac63ade8-dc8f-4db4-99e4-a58faf320e55): General Error
2026-04-28 19:31:22,384 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=ac63ade8-dc8f-4db4-99e4-a58faf320e55): General Error
2026-04-28 19:31:24,061 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=ac63ade8-dc8f-4db4-99e4-a58faf320e55): General Error
FAILED:  [applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54/ac63ade8-dc8f-4db4-99e4-a58faf320e55] → HTTPException: 502: Storage upload failed
2026-04-28 19:31:26,289 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=04f29475-89cb-4dd7-a16b-230673930d77): General Error
2026-04-28 19:31:27,327 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=04f29475-89cb-4dd7-a16b-230673930d77): General Error
2026-04-28 19:31:29,026 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=04f29475-89cb-4dd7-a16b-230673930d77): General Error
FAILED:  [applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54/04f29475-89cb-4dd7-a16b-230673930d77] → HTTPException: 502: Storage upload failed
2026-04-28 19:31:31,373 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=223ec9cd-9d88-4843-b7f5-aa4d0ed09d0b): General Error
2026-04-28 19:31:32,515 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=223ec9cd-9d88-4843-b7f5-aa4d0ed09d0b): General Error
2026-04-28 19:31:34,259 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=223ec9cd-9d88-4843-b7f5-aa4d0ed09d0b): General Error
FAILED:  [applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54/223ec9cd-9d88-4843-b7f5-aa4d0ed09d0b] → HTTPException: 502: Storage upload failed
2026-04-28 19:31:36,801 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=85c0beb9-ac6f-4a04-9517-1fa5d5055837): General Error
2026-04-28 19:31:37,821 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=85c0beb9-ac6f-4a04-9517-1fa5d5055837): General Error
2026-04-28 19:31:39,675 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=85c0beb9-ac6f-4a04-9517-1fa5d5055837): General Error
FAILED:  [applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54/85c0beb9-ac6f-4a04-9517-1fa5d5055837] → HTTPException: 502: Storage upload failed
2026-04-28 19:31:41,969 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=3468941a-7ecc-462d-99a3-d2a239bdb7ee): General Error
2026-04-28 19:31:43,049 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=3468941a-7ecc-462d-99a3-d2a239bdb7ee): General Error
2026-04-28 19:31:44,709 - ERROR - Cloudinary upload failed (folder=talentgram/applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54 pid=3468941a-7ecc-462d-99a3-d2a239bdb7ee): General Error
FAILED:  [applications/eeb64abe-2c67-4f78-918d-a2c8d26aae54/3468941a-7ecc-462d-99a3-d2a239bdb7ee] → HTTPException: 502: Storage upload failed
2026-04-28 19:31:46,967 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=a70fca7c-7a81-461f-970f-818772a0475f): General Error
2026-04-28 19:31:49,046 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=a70fca7c-7a81-461f-970f-818772a0475f): General Error
2026-04-28 19:31:51,071 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=a70fca7c-7a81-461f-970f-818772a0475f): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/a70fca7c-7a81-461f-970f-818772a0475f] → HTTPException: 502: Storage upload failed
2026-04-28 19:31:54,323 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=0958d406-905d-4a02-9748-c32f8e4f7ba5): General Error
2026-04-28 19:31:55,467 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=0958d406-905d-4a02-9748-c32f8e4f7ba5): General Error
2026-04-28 19:31:57,160 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=0958d406-905d-4a02-9748-c32f8e4f7ba5): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/0958d406-905d-4a02-9748-c32f8e4f7ba5] → HTTPException: 502: Storage upload failed
2026-04-28 19:31:59,408 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=e21e483e-ad4f-4424-9cbb-186353078c03): General Error
2026-04-28 19:32:00,671 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=e21e483e-ad4f-4424-9cbb-186353078c03): General Error
2026-04-28 19:32:02,389 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=e21e483e-ad4f-4424-9cbb-186353078c03): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/e21e483e-ad4f-4424-9cbb-186353078c03] → HTTPException: 502: Storage upload failed
2026-04-28 19:32:04,716 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=7ede98a7-3d5b-4589-bf2d-9e26412275e4): General Error
2026-04-28 19:32:05,840 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=7ede98a7-3d5b-4589-bf2d-9e26412275e4): General Error
2026-04-28 19:32:07,548 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=7ede98a7-3d5b-4589-bf2d-9e26412275e4): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/7ede98a7-3d5b-4589-bf2d-9e26412275e4] → HTTPException: 502: Storage upload failed
2026-04-28 19:32:09,893 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=89ef5c7c-684e-4869-9399-e95b019c9722): General Error
2026-04-28 19:32:11,541 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=89ef5c7c-684e-4869-9399-e95b019c9722): General Error
2026-04-28 19:32:13,197 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=89ef5c7c-684e-4869-9399-e95b019c9722): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/89ef5c7c-684e-4869-9399-e95b019c9722] → HTTPException: 502: Storage upload failed
2026-04-28 19:32:15,441 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=db3b7d0c-2fa4-494f-b910-c4c320f0de3d): General Error
2026-04-28 19:32:16,648 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=db3b7d0c-2fa4-494f-b910-c4c320f0de3d): General Error
2026-04-28 19:32:18,286 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=db3b7d0c-2fa4-494f-b910-c4c320f0de3d): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/db3b7d0c-2fa4-494f-b910-c4c320f0de3d] → HTTPException: 502: Storage upload failed
2026-04-28 19:32:20,807 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=be8283bc-2a50-4a66-b359-36cfbe839bb4): General Error
2026-04-28 19:32:21,962 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=be8283bc-2a50-4a66-b359-36cfbe839bb4): General Error
2026-04-28 19:32:23,615 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=be8283bc-2a50-4a66-b359-36cfbe839bb4): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/be8283bc-2a50-4a66-b359-36cfbe839bb4] → HTTPException: 502: Storage upload failed
2026-04-28 19:32:25,895 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=fa02a96d-156e-4ee9-9654-deaef280f4fe): General Error
2026-04-28 19:32:27,002 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=fa02a96d-156e-4ee9-9654-deaef280f4fe): General Error
2026-04-28 19:32:28,765 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=fa02a96d-156e-4ee9-9654-deaef280f4fe): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/fa02a96d-156e-4ee9-9654-deaef280f4fe] → HTTPException: 502: Storage upload failed
2026-04-28 19:32:31,055 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=7cf93150-c7ea-4e22-9590-4fd33ac99a8a): General Error
2026-04-28 19:32:32,064 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=7cf93150-c7ea-4e22-9590-4fd33ac99a8a): General Error
2026-04-28 19:32:33,784 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=7cf93150-c7ea-4e22-9590-4fd33ac99a8a): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/7cf93150-c7ea-4e22-9590-4fd33ac99a8a] → HTTPException: 502: Storage upload failed
2026-04-28 19:32:36,000 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=0ec6e61f-e961-4304-b035-f0a0e5cf2763): General Error
2026-04-28 19:32:37,056 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=0ec6e61f-e961-4304-b035-f0a0e5cf2763): General Error
2026-04-28 19:32:38,719 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=0ec6e61f-e961-4304-b035-f0a0e5cf2763): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/0ec6e61f-e961-4304-b035-f0a0e5cf2763] → HTTPException: 502: Storage upload failed
2026-04-28 19:32:40,938 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=24aaad02-c528-45db-9d74-52344fb77cc3): General Error
2026-04-28 19:32:41,922 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=24aaad02-c528-45db-9d74-52344fb77cc3): General Error
2026-04-28 19:32:43,558 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=24aaad02-c528-45db-9d74-52344fb77cc3): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/24aaad02-c528-45db-9d74-52344fb77cc3] → HTTPException: 502: Storage upload failed
2026-04-28 19:32:45,797 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=06df5253-e5f4-49d2-93cd-afcadb1fb7f9): General Error
2026-04-28 19:32:46,984 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=06df5253-e5f4-49d2-93cd-afcadb1fb7f9): General Error
2026-04-28 19:32:49,294 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=06df5253-e5f4-49d2-93cd-afcadb1fb7f9): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/06df5253-e5f4-49d2-93cd-afcadb1fb7f9] → HTTPException: 502: Storage upload failed
2026-04-28 19:32:51,486 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=db941892-6604-4f07-94c8-21c1ee8accb9): General Error
2026-04-28 19:32:52,667 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=db941892-6604-4f07-94c8-21c1ee8accb9): General Error
2026-04-28 19:32:54,392 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=db941892-6604-4f07-94c8-21c1ee8accb9): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/db941892-6604-4f07-94c8-21c1ee8accb9] → HTTPException: 502: Storage upload failed
2026-04-28 19:32:56,776 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=d1de9bb5-66c0-4e69-b050-a350c29eedfe): General Error
2026-04-28 19:32:57,902 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=d1de9bb5-66c0-4e69-b050-a350c29eedfe): General Error
2026-04-28 19:32:59,708 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=d1de9bb5-66c0-4e69-b050-a350c29eedfe): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/d1de9bb5-66c0-4e69-b050-a350c29eedfe] → HTTPException: 502: Storage upload failed
2026-04-28 19:33:02,114 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=a688c2b3-4008-4b42-a1fe-b2adeea5fcf0): General Error
2026-04-28 19:33:03,227 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=a688c2b3-4008-4b42-a1fe-b2adeea5fcf0): General Error
2026-04-28 19:33:05,657 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=a688c2b3-4008-4b42-a1fe-b2adeea5fcf0): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/a688c2b3-4008-4b42-a1fe-b2adeea5fcf0] → HTTPException: 502: Storage upload failed
2026-04-28 19:33:07,991 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=556f98a5-b757-416a-85dd-78c80d49a6c6): General Error
2026-04-28 19:33:09,330 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=556f98a5-b757-416a-85dd-78c80d49a6c6): General Error
2026-04-28 19:33:11,072 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=556f98a5-b757-416a-85dd-78c80d49a6c6): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/556f98a5-b757-416a-85dd-78c80d49a6c6] → HTTPException: 502: Storage upload failed
2026-04-28 19:33:13,863 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=c996ff85-b5f5-4492-95e1-eb0796ea3ddf): General Error
2026-04-28 19:33:15,008 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=c996ff85-b5f5-4492-95e1-eb0796ea3ddf): General Error
2026-04-28 19:33:28,022 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=c996ff85-b5f5-4492-95e1-eb0796ea3ddf): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/c996ff85-b5f5-4492-95e1-eb0796ea3ddf] → HTTPException: 502: Storage upload failed
2026-04-28 19:33:50,348 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=61211485-4b7a-4140-ab81-0d7061600764): General Error
2026-04-28 19:33:52,450 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=61211485-4b7a-4140-ab81-0d7061600764): General Error
2026-04-28 19:34:13,446 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=61211485-4b7a-4140-ab81-0d7061600764): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/61211485-4b7a-4140-ab81-0d7061600764] → HTTPException: 502: Storage upload failed
2026-04-28 19:34:16,240 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=da978ad2-28d9-4e0d-bc3b-e4746284ee58): General Error
2026-04-28 19:34:17,327 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=da978ad2-28d9-4e0d-bc3b-e4746284ee58): General Error
2026-04-28 19:34:19,186 - ERROR - Cloudinary upload failed (folder=talentgram/applications/7c0f1829-248d-45e3-b64f-d720e5d02a01 pid=da978ad2-28d9-4e0d-bc3b-e4746284ee58): General Error
FAILED:  [applications/7c0f1829-248d-45e3-b64f-d720e5d02a01/da978ad2-28d9-4e0d-bc3b-e4746284ee58] → HTTPException: 502: Storage upload failed
